Код	Артикул	Наименование	Полное наименование	Цена дил.	Цена уцен.	Процент	Причина	Остаток	Заказ
Процессоры (CPU)									
34264y	YD3400C5M4MFH	Процессор (CPU) AMD Ryzen 5 3400G 65W AM4	Процессор, AMD, AM4 Ryzen 5 3400G, оем, 4M L3 + 2М L2, 3.7 GHz, 4/8 Core, 65 Вт, Radeon Vega 11 Graphics	34860.0	29500.0	15%	Сколы на текстолите. Следы установки.	2.0	
47517y	100-000000593	Процессор (CPU) AMD Ryzen 5 7600X 65W AM5	Процессор, AMD, AM5 Ryzen 5 7600X, oem, 6M L2 + 32M L3, 4.7 GHz, 6/12 Core, 105 Вт, AMD Radeon Graphic	89973.0	76500.0	15%	По приходу маленький скол. Новый.	2.0	
DDR5									
81786y	FL.32G2C.PKH	Модуль памяти Apacer FL.32G2C.PKH 32GB DDR5 5600MHz	Модуль памяти, Apacer, FL.32G2C.PKH, DDR5, 32GB, DIMM, <PC5-44800/5600MHz>	257503.0	234093.0	9%	мятые упаковки	2.0	
Жёсткие диски (HDD)									
60912y	WD101PURP	Жесткий диск Western Digital WD101PURP HDD 10Tb	"Жесткий диск, Western Digital, WD101PURP, HDD 10Tb, SATA 6Gb/s, 3.5"", 256MB, 7200 RPM"	193590.0	160000.0	17%	Следы эксплуатации, рабочие.	25.0	
Портативные диски									
74423y	47444	Внешний SSD диск Verbatim VX500 47444 1TB Серый	Внешний SSD диск, Verbatim, VX500 47444, 1TB, Type-C и Type-A, Серый	84777.0	81000.0	4%	повреждена упаковка	2.0	
82067y	32190	Внешний SSD диск Verbatim Pocket SSD 32190 1TB Чёрный	Внешний SSD диск, Verbatim, Pocket SSD 32190, 1TB, Type-C, Чёрный	95550.0	91000.0	5%	повреждена упаковка	1.0	
82071y	32022	Внешний SSD диск Verbatim TurboMetal 32022 2TB	Внешний SSD диск, Verbatim, TurboMetal 32022, 2TB	202932.0	189000.0	7%	повреждена упаковка	1.0	
34205y	AP2TBAC630T-1	"Внешний жёсткий диск Apacer 2TB 2.5"" AC630 Оранжевый"	"Внешний жёсткий диск, Apacer, AC630, AP2TBAC630T-1, 2TB, 2.5"", USB 3.1, Оранжевый"	56194.0	50575.0	10%	царапина на товаре	1.0	
Корпуса									
50609y	GS450C 	Компьютерный корпус Huntkey GS450C без Б/П	"Компьютерный корпус, Huntkey, GS450C, ATX/Micro ATX, USB 1*3.0/2*2.0, HD-Audio+Mic, Кулер 3*12см FRGB, Высота процессорного кулера до 160 мм, Длина VGA до 320мм, 2*3.5""/2*2.5"", Слот 7, Толщина 0,5мм, 360x200x450мм, Без Б/П, Чёрный"	13000.0	9900.0	24%	17 шт все поврежден	10.0	
77493y	APCM-VI01003.11	Компьютерный корпус Aerocool APNX V1 без Б/П	"Компьютерный корпус, Aerocool, APNX V1 (V1-BK-v1), ATX/Micro ATX, USB 1*Type C/2*3.2, HD-Audio+Mic, Высота процессорного кулера до 170 мм, Длина VGA до 395мм, 2*3.5""/6*2.5"", Толщина 0,8мм, 485.5x290x500мм, Без Б/П, Чёрный"	57050.0	45500.0	20%	Повреждена упаковка	1.0	
77537y	HVN-CA-HS420-06	Компьютерный корпус HAVN HS 420 BK без Б/П	"Компьютерный корпус, HAVN, HS 420 BK (HVN-CA-HS420-06), E-ATX/ATX/Micro ATX, USB 1*Type C/2*3.2, HD-Audio, Высота процессорного кулера до 185 мм, Длина VGA до 480мм, 5*3.5""/5*2.5"", Толщина 0,8мм, 541x259,5x547мм, Без Б/П, Чёрный"	89240.0	75000.0	16%	упаковка	1.0	
77532y	HVN-CA-HS420-05	Компьютерный корпус HAVN HS 420 WH без Б/П	"Компьютерный корпус, HAVN, HS 420 WH (HVN-CA-HS420-05), E-ATX/ATX/Micro ATX, USB 1*Type C/2*3.2, HD-Audio, Высота процессорного кулера до 185 мм, Длина VGA до 480мм, 5*3.5""/5*2.5"", Толщина 0,8мм, 541x259,5x547мм, Без Б/П, Белый"	89240.0	75000.0	16%	упаковка	1.0	
67923y	CGR-2AC8W-RGB	Компьютерный корпус Cougar MX220 RGB (White) без Б/П	"Компьютерный корпус, Cougar, MX220 RGB (White), ATX/Micro ATX/Mini ITX, USB 1*Type C/2*3.0, 4 Pole Headset Audio Jack, RGB Button, Кулер 4*12см ARGB, Высота процессорного кулера до 160 мм, Длина VGA до 340мм, 2*3.5""/2+2*2.5"", Толщина 0,6мм, 485x205x393мм, Без Б/П, Белый"	29679.0	18500.0	38%	упаковка	3.0	
80397y	CGR-5YA2W-RGB	Компьютерный корпус Cougar Airface ECO RGB White без Б/П	"Компьютерный корпус, Cougar, Airface ECO RGB White, E-ATX/CEB/ATX/Micro ATX/Mini ITX, USB Type-C/2*3.0, HD-Audio+Mic, Кулер 2*18см/1*12см ARGB, Высота процессорного кулера до 190 мм, Длина VGA до 390мм, 2*3.5""/2*2.5"", Толщина 0,6мм, 509x240x480мм, Без Б/П, Белый"	50257.0	28000.0	44%	упаковка	1.0	
79430y	D400 Black	Компьютерный корпус Jonsbo D400 Black без Б/П	"Компьютерный корпус, Jonsbo, D400 Black, Mid-Tower, ATX/M-ATX/m-ITX, Type-C*1/USB3.0*2, Audio+Mic, Высота процессорного кулера до 169 мм, Длина VGA до 450 мм, 1*2.5""/1*3,5"", Сталь, Пластик, Закаленное стекло, 488*239*514, Без Б/П, Черный"	29368.0	27900.0	5%	1 - повреждение упаковки	1.0	
47310y	MOD-3 White	Компьютерный корпус Jonsbo MOD-3 White без Б/П	Компьютерный корпус, Jonsbo, MOD-3 White, Mid-Tower, EATX/ATX/M-ATX/ITX, USB 3.0*2, Audio+Mic, Высота процессорного кулера до 170 мм, Длина VGA до 400 мм, 2*2.5''+1*3.5''/3*2.5'', Сталь, Пластик, Закаленное стекло, 232*647*620мм, Без Б/П, Белый	85558.0	73000.0	15%	1 - замята коробка	1.0	
76380y	BGW65	Компьютерный корпус Bequiet! LIGHT BASE 600 DX Black	Компьютерный корпус, Bequiet!, LIGHT BASE 600 DX Black, BGW65, Без Б/П, ATX PS/2, E-ATX/ ATX/ M-ATX/ Mini-ITX, 2xUSB 3.0, USB 3.1 Gen 2 Type C, Mic+Audio, Midi Tower, Чёрный	63598.0	60000.0	6%	повреждена упаковка	1.0	
Блоки питания									
37999y	TTM Multi-rail 1600W	Блок питания X-Game TTM Multi-rail 1600W	Блок питания, X-Game, TTM Multi-rail, 1600W, ATX, APFC, 20+4P, P4+P4*1, (PCI 6+2P to 6+2P)*6PCS, SATA*8+IDE*6, кабель питания, черный	56699.0	43000.0	24%	"1. повреждение упаковки. 
43 000 тг
2. Диагностика. Тестирование под нагрузкой в приложении OCCT в режиме Power. акт 70826
42 000 тг
3. Следы эксплуатации, Дефект контролёра оборотов вентилятора. акт 70825
41 000 тг"	4.0	
Мониторы									
60489y	Crimson X White 180HZ	Монитор 27'' XG Crimson X White 180HZ	"Монитор, XG, Crimson X White 180HZ, 27"", IPS, 2560x1440, 180 Гц, 16:9, 300 кд/м2, 1000:1, 1 мс, 178/178, 16.7 млн., DP*2, HDMI*2, Аудиовыход*1, Динамики 2x2 Вт, VESA 100*100 мм, Регулировка высоты/наклона/поворота, кабель DP в комплекте, Белый"	79990.0	69000.0	14%	полосы на изображении	1.0	
60488y	Darknet Pro 360HZ	Монитор 27'' XG Darknet Pro 360HZ	"Монитор, XG, Darknet Pro 360HZ, 27"", IPS, 1920x1080, 360 Гц, 16:9, 300 кд/м2, 1000:1, 1 мс, 178/178, 16.7 млн., DP*2, HDMI*2, Аудиовыход*1, Динамики 2x2 Вт, VESA 100*100 мм, кабель DP в комплекте, Чёрный"	119000.0	99000.0	17%	"1. Монитор имеет с верхней части экрана битые пиксели только на черном фоне.
2. повреждена упаковка"	3.0	
64503y	OLED27	Монитор 27'' XG OLED27	"Монитор, XG, OLED27, 27"", 2560x1440, OLED-матрица, 240 Гц, 16:9, 300 кд/м2, 150000:1 , 0.1 мс, 178/178, 1.07 млрд., DP*1, HDMI*2, USB 3.0*2, USB type-C*1, Аудиовыход*1, Динамики 2x2 Вт, кабели DP/USB/USB type-C в комплекте, Чёрный"	258000.0	245000.0	5%	повреждена упаковка	2.0	
53675y	DHI-LM49-S400	"Монитор 49"" Dahua DHI-LM49-S400"	"Монитор, Dahua, DHI-LM49-S400, 49"", 3840x2160, IPS, 60 Гц, 16:9, 450 кд/м2, 1000:1, 8 мс, 178/178, 1.07 млрд., DP*1, VGA*1, HDMI*2, USB*1, Аудиовход*1, Динамики 2x5 Вт, VESA 400*400 мм, кабель HDMI в комплекте, Чёрный"	470000.0	350000.0	26%	Не значительное повреждение коробки	2.0	
89494y	P27FDA-RAGL	"Монитор Xiaomi A27i EU 2026 27"""	"Монитор, Xiaomi, A27i, P27FDA-RAGL, 27"", 1920x1080, IPS, 144 Гц, 16:9, 300 кд/м2, 1000:1, 6 мс, 178/178, 16.7 млн., DP*1, HDMI*1, VESA 75*75 мм, кабель HDMI в комплекте, Чёрный"	52948.0	50000.0	6%	Повреждена упаковка	1.0	
64785y	P27QBA-RGPGL	"Монитор Xiaomi G Pro 27i P27QBA-RGPGL 27"""	"Монитор, Xiaomi, G Pro 27i, P27QBA-RGPGL, 27"", 2560x1440, IPS, 180 Гц, 16:9, 1000 кд/м2, 1000:1, 1 мс, 178/178, 16.7 млн., DP*2, HDMI*2, Аудиопорт*1, VESA 75*75 мм, кабель DP в комплекте, Чёрный"	163784.0	153000.0	7%	"1. Повреждённая упаковка, следы эксплуатации
2. Упаковка вскрыта и повреждена."	1.0	
49527y	XMMNT27NU	"Монитор Xiaomi 4K Monitor 27"""	"Монитор, Xiaomi, 4K Monitor 27"", XMMNT27NU, 27"", 3840x2160, IPS, 60 Гц, 16:9, 400 кд/м2, 1000:1, 6 мс, 178/178, 1.07 млрд., DP*1, HDMI*2, USB*2, USB-C*1, Аудиопорт*1, VESA 75*75 мм, Регулировка наклона/поворота/высоты, Чёрный"	223613.0	203635.0	9%	Повреждение и замятие упаковки	1.0	
42738y	9H.LJPLB.QBE	"Монитор 24"" ZOWIE XL2411K Dark Grey"	"Монитор, ZOWIE, XL2411K, 9H.LJPLB.QBE, 24"", 1920x1080, TN, 144 Гц, 16:9, 320 кд/м2, 1000:1, 1 мс, 16.7 млн., 178/178, HDMI*3, DP*1, Аудиопорт*1, встроенный БП, VESA 100*100 мм, Регулировка высоты/наклона/вращения/поворота, S Switch (5-way), кабель DP в комплекте, Чёрный"	95000.0	89000.0	6%	Упаковка вскрыта и повреждена.	1.0	
70255y	LS27CG510EIXCI	"Монитор Samsung 27"" Odyssey G5 LS27CG510EIXCI"	"Монитор, Samsung, LS27CG510EIXCI, Odyssey G5, 27"", 2560*1440, VA, 165 Гц, 16:9, 300 кд/м2, 3000:1, 1 мс, 178/178, 16.7 млн., DP*1, HDMI*2, Аудиопорт*1, VESA 100*100 мм, Регулировка высоты/наклона/вращения/поворота, кабель DP в комплекте, Чёрный"	113684.0	96000.0	16%	После АСЦ. Следы эксплуатации, потёртости и царапины.	1.0	
70250y	LS27D604UAIXCI	"Монитор Samsung 27"" ViewFinity S6 LS27D604UAIXCI"	"Монитор, Samsung, LS27D604UAIXCI, ViewFinity S6 QHD, 27"", 2560x1440, IPS, 100 Гц, 16:9, 350 кд/м2, 1000:1, 5 мс, 178/178, 1.07 млрд., DP*1, HDMI*1, USB*3, USB-C*1, Аудиопорт*1, VESA 100*100 мм, Регулировка высоты/наклона/вращения/поворота, кабели HDMI/USB-C в комплекте, Чёрный"	171200.0	150000.0	12%	"Дефект упаковки
"	1.0	
61667y	LS49C950UAIXCI	"Монитор Samsung 49"" QLED LS49C950UAIXCI"	"Монитор, Samsung, LS49C950UAIXCI, ViewFinity S9, 49"", Изогнутый, 5120x1440, VA, 120 Гц, 32:9, 350 кд/м2, 3000:1, 5 мс, 178/178, 1.07 млрд., DP*1, HDMI*2, USB-C*1, Динамики 2x5 Вт, VESA 100*100 мм, Регулировка высоты/наклона/вращения, Черный"	577800.0	554000.0	4%	Повреждение упаковки	1.0	
88033y	DS-D5032F3-1V0S 32&quot;	"Монитор Hikvision DS-D5032F3-1V0S 32"""	"Монитор, Hikvision, DS-D5032F3-1V0S 32"", Разрешение: 1920  1080, Контрастность: 4000:1, Вход видео/аудио: VGA  1 / HDMI 1.4  1 / Audio Output  1"	110215.0	72000.0	35%	Деформация, повреждения коробки. Коробка вскрыта.	3.0	
73504y	24GS65F-B	"Монитор 24"" LG 24GS65F-B"	"Монитор, LG, 24GS65F-B, 23.8"", 1920x1080, IPS, 180 Гц, HDMI, DP, 300кд/м2, 1000:1, 16.7M, 1мс, угол обзора(гор/верт) 178/178, 16:9, Чёрный"	78433.0	70000.0	11%	Повреждение упаковки. Потёртости и царапины.	1.0	
73503y	27GS65F-B	"Монитор 27"" LG 27GS65F-B"	"Монитор, LG, 27GS65F-B, 27"", 1920x1080, IPS, 180 Гц, HDMI, DP, 300кд/м2, 1000:1, 16.7М, 1мс, угол обзора(гор/верт) 178/178, 16:9, Чёрный"	92553.0	88851.0	4%	Повреждение упаковки. Царапины и потёртости.	1.0	
75759y	27BA65QB-B	"Монитор 27"" LG 27BA65QB Black"	"Монитор, LG, 27BA65QB Black, 27"", 2560x1440, IPS, 100 Гц, HDMI, DP, USB x4, USB-C, 350кд/м2, 1000:1, 16.7М, 5мс, 178/178, 16:9, Чёрный"	173904.0	165000.0	5%	Повреждена упаковка	2.0	
87250y	32UN650K-W	"Монитор 31,5"" LG 32UN650K White"	"Монитор, LG, 32UN650K White, 31,5"", 3840x2160, IPS, 60 Гц, HDMI*2, DP, Динамики, 380кд/м2, 1000:1, 5 мс, угол обзора(гор/верт) 178/178, 16:9, Белый"	223627.0	210000.0	6%	Повреждение упаковки	2.0	
